,sy_snum,sy_pnum,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
3243,1,1,462.322,15.184,-15.184,14.032,0.126,-0.126,11.892,0.021,-0.021,13.7823,0.001189,-0.001189
3244,1,1,439.4,2.398,-2.372,13.173,0.069,-0.069,11.623,0.023,-0.023,13.0657,0.000256,-0.000256
3245,2,1,155.95600000000005,0.7090000000000001,-0.703,11.27,0.018000000000000002,-0.018000000000000002,9.645000999999999,0.013,-0.013,11.1647,0.000516,-0.000516
3246,1,2,307.318,3.57,-3.489,12.444,0.057,-0.057,10.915,0.018000000000000002,-0.018000000000000002,12.379,0.00040199999999999996,-0.00040199999999999996
3247,1,2,307.318,3.57,-3.489,12.444,0.057,-0.057,10.915,0.018000000000000002,-0.018000000000000002,12.379,0.00040199999999999996,-0.00040199999999999996
3248,1,3,271.701,2.9175,-2.9175,16.282,0.423,-0.423,12.648,0.021,-0.021,15.8133,0.000603,-0.000603
3249,1,3,271.701,2.9175,-2.9175,16.282,0.423,-0.423,12.648,0.021,-0.021,15.8133,0.000603,-0.000603
3250,1,3,271.701,2.9175,-2.9175,16.282,0.423,-0.423,12.648,0.021,-0.021,15.8133,0.000603,-0.000603
3251,1,1,390.374,3.992,-3.914,12.293,0.057,-0.057,10.81,0.014,-0.014,12.1868,0.000194,-0.000194
3252,1,1,1060.68,16.64,-16.14,13.383,0.057,-0.057,11.733,0.021,-0.021,13.228,0.000198,-0.000198
3253,1,1,436.016,3.23,-3.184,13.606,0.126,-0.126,11.783,0.021,-0.021,13.4161,0.00021600000000000002,-0.00021600000000000002
3254,1,1,221.802,1.036,-1.027,13.598,0.103,-0.103,11.089,0.02,-0.02,13.3744,0.000488,-0.000488
3255,1,1,963.18,13.6765,-13.6765,13.667,0.114,-0.114,12.289,0.023,-0.023,13.5408,0.000236,-0.000236
3256,1,1,818.0010000000002,12.451,-12.09,14.205,0.183,-0.183,12.708,0.026,-0.026,14.105,0.00023700000000000001,-0.00023700000000000001
3257,1,1,1019.65,17.84,-17.25,14.325,0.08,-0.08,12.784,0.036000000000000004,-0.036000000000000004,14.251,0.000279,-0.000279
3258,1,1,378.972,3.978,-3.896,14.48,0.08,-0.08,11.998,0.016,-0.016,14.207,0.000434,-0.000434
3259,1,1,751.7760000000002,13.0105,-13.0105,15.265999999999998,0.08,-0.08,13.071,0.031,-0.031,14.9844,0.000306,-0.000306
3260,1,2,635.145,7.022,-6.872000000000001,14.805,0.149,-0.149,12.826,0.031,-0.031,14.6226,0.000272,-0.000272
3261,1,2,635.145,7.022,-6.872000000000001,14.805,0.149,-0.149,12.826,0.031,-0.031,14.6226,0.000272,-0.000272
3262,1,5,578.7959999999998,9.604,-9.3,15.746,0.355,-0.355,13.289,0.049,-0.049,15.7813,0.000519,-0.000519
3263,1,5,578.7959999999998,9.604,-9.3,15.746,0.355,-0.355,13.289,0.049,-0.049,15.7813,0.000519,-0.000519
3264,1,5,578.7959999999998,9.604,-9.3,15.746,0.355,-0.355,13.289,0.049,-0.049,15.7813,0.000519,-0.000519
3265,1,5,578.7959999999998,9.604,-9.3,15.746,0.355,-0.355,13.289,0.049,-0.049,15.7813,0.000519,-0.000519
3266,1,5,578.7959999999998,9.604,-9.3,15.746,0.355,-0.355,13.289,0.049,-0.049,15.7813,0.000519,-0.000519
3267,1,1,531.944,4.874,-4.787,14.626,0.08,-0.08,12.562,0.022,-0.022,14.4716,0.000386,-0.000386
3268,1,1,311.175,2.107,-2.08,15.278,0.13699999999999998,-0.13699999999999998,12.193,0.023,-0.023,14.8603,0.000443,-0.000443
3269,1,1,843.689,11.8035,-11.8035,14.476,0.183,-0.183,12.78,0.026,-0.026,14.2624,0.00025299999999999997,-0.00025299999999999997
3270,1,2,728.525,12.571,-12.571,15.034,0.229,-0.229,13.064,0.037000000000000005,-0.037000000000000005,14.9567,0.000346,-0.000346
3271,1,2,728.525,12.571,-12.571,15.034,0.229,-0.229,13.064,0.037000000000000005,-0.037000000000000005,14.9567,0.000346,-0.000346
3272,1,1,690.525,8.712,-8.502,14.49,0.114,-0.114,12.615,0.026,-0.026,14.2961,0.000256,-0.000256
3273,1,1,973.121,18.276,-17.625999999999994,14.448,0.103,-0.103,12.633,0.026,-0.026,14.161,0.000303,-0.000303
3274,1,1,674.5980000000002,9.132,-9.132,14.316,0.069,-0.069,12.668,0.023,-0.023,14.1247,0.00023999999999999998,-0.00023999999999999998
3275,1,1,2097.12,119.115,-119.115,14.723,0.115,-0.115,13.153,0.034,-0.034,14.6387,0.000348,-0.000348
3276,1,1,661.8760000000002,10.066,-9.773,14.899,0.172,-0.172,12.961,0.032,-0.032,14.9538,0.000557,-0.000557
3277,1,1,776.7080000000002,14.957,-14.411,14.863,0.08,-0.08,12.977,0.027000000000000003,-0.027000000000000003,14.7424,0.000319,-0.000319
3278,1,3,912.994,23.5465,-23.5465,12.598,0.046,-0.046,10.227,0.018000000000000002,-0.018000000000000002,12.4298,0.000169,-0.000169
3279,1,3,912.994,23.5465,-23.5465,12.598,0.046,-0.046,10.227,0.018000000000000002,-0.018000000000000002,12.4298,0.000169,-0.000169
3280,1,3,912.994,23.5465,-23.5465,12.598,0.046,-0.046,10.227,0.018000000000000002,-0.018000000000000002,12.4298,0.000169,-0.000169
3281,2,1,109.308,0.413,-0.41,15.66,0.2,-0.2,11.455,0.019,-0.019,14.7511,0.0004969999999999999,-0.0004969999999999999
3282,1,2,621.378,9.335,-9.335,14.427,0.08,-0.08,12.585,0.023,-0.023,14.3316,0.000306,-0.000306
3283,1,2,621.378,9.335,-9.335,14.427,0.08,-0.08,12.585,0.023,-0.023,14.3316,0.000306,-0.000306
3284,1,1,992.769,22.951,-21.958,14.908,0.172,-0.172,13.12,0.027000000000000003,-0.027000000000000003,14.7427,0.000411,-0.000411
