sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
2,1,,,,,84.0,,,0.0,12.3,,,0.0,1.1,,,0.0,4131.79,317.83,-317.83,0.0,13.0,1.0,-1.0,0.0,,,,,,,,,,,,,0,,,,,,,,,0.19,0.02,-0.02,0.0,,,,,,,,,15.8992489,-55.2658291,47.2,3.1,-3.1,15.788,0.275,-0.275,9.237001,0.022,-0.022,,,
1,1,,,,,52.0,6.0,-6.0,0.0,11.209000000000001,,,0.0,1.0,,,0.0,7786.5,794.5,-794.5,0.0,24.5,2.5,-2.5,0.0,,,,,,,,,1600.0,100.0,-100.0,0.0,0,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,0.0,0.4,0.05,-0.05,0.0,,,,,4.86,0.0,0.0,0.0,20.712801199999998,-24.6646128,33.8281,0.0864,-0.086,14.244,0.074,-0.074,9.198,0.026,-0.026,12.9025,0.001151,-0.001151
1,1,,,,,156.0,10.0,-10.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,,,,,,,,,,,,,0,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,,,,,4.59,0.06,-0.06,0.0,34.842704600000005,-39.4230767,40.0896412,0.19404960000000002,-0.19404960000000002,,,,10.404,0.025,-0.025,15.0123,0.000624,-0.000624
1,1,,,,,15.0,,,0.0,12.6,,,0.0,1.13,,,0.0,2383.6,794.5,-794.5,0.0,7.5,2.5,-2.5,0.0,,,,,,,,,,,,,0,,,,,,,,,0.02,,,0.0,,,,,,,,,70.4371079,23.0308544,120.42398700000001,5.4783417000000005,-5.4783417000000005,,,,13.161,0.025,-0.025,18.9668,0.006833,-0.006833
1,1,,,,,46.0,5.0,-5.0,0.0,13.0,,,0.0,1.16,,,0.0,1271.0,318.0,-318.0,0.0,4.0,1.0,-1.0,0.0,,,,,,,,,1150.0,150.0,-150.0,0.0,0,2825.0,157.0,-157.0,0.0,0.22,0.01,-0.01,0.0,0.19,0.02,-0.02,0.0,,,,,5.03,0.02,-0.02,0.0,181.8890906,-39.5484399,64.308,0.6569,-0.644,20.15,0.19,,11.945,0.026,-0.026,17.4076,0.002154,-0.002154
2,1,416.0,2.0,-2.0,0.0,0.92,0.02,-0.02,0.0,13.4,,,0.0,1.2,,,0.0,603.877,31.783,-31.783,0.0,1.9,0.1,-0.1,0.0,,,,,,,,,,,,,0,,,,,,,,,0.48,0.03,-0.03,0.0,,,,,,,,,294.6359173,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.0036869999999999997,-0.0036869999999999997
1,1,7336.5,1934.5,-584.0,0.0,,,,,10.31,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,6657.48,26629.91,-6657.48,0.0,20.95,83.79,-20.95,0.0,0.26,0.06,-0.06,0.0,,,,,2075.0,70.0,-70.0,0.0,0,2300.0,80.0,-80.0,0.0,0.12,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0,,,,,,,,,325.1218214,16.4213408,33.1156898,0.47593279999999993,-0.47593279999999993,,,,11.826,0.031,-0.031,17.3961,0.004861,-0.004861
1,1,,,,,230.0,20.0,-20.0,0.0,12.3,,,0.0,1.1,,,0.0,3972.875,476.745,-476.745,0.0,12.5,1.5,-1.5,0.0,,,,,,,,,,,,,0,4045.0,35.0,-35.0,0.0,,,,,0.6,0.05,-0.05,0.0,,,,,,,,,339.10259310000004,47.861683,69.5737,0.1592,-0.1585,12.368,0.057,-0.057,9.148,0.018,-0.018,11.9484,0.000737,-0.000737
4,1,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,12.3,,,0.0,1.1,,,0.0,4392.4106,572.094,-572.094,0.0,13.82,1.8,-1.8,0.0,0.29,0.09,-0.09,0.0,,,,,,,,,0,6331.0,61.0,-61.0,0.0,1.41,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,,,0.0,4.43,0.05,-0.05,0.0,39.24127360000001,24.6480103,44.657,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512
1,1,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,12.7,,,0.0,1.13,,,0.0,2256.5,508.5,-508.5,0.0,7.1,1.6,-1.6,0.0,0.432,0.024,-0.024,0.0,,,,,,,,,0,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0,-0.25,0.04,-0.04,0.0,1.8,0.15,-0.15,0.0,130.05280990000003,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288
