sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
1,5,1084.0,,,1.0,,,,,10.2,1.4,-1.4,0.0,0.91,0.125,-0.125,0.0,74.0,,,0.0,0.233,,,0.0,,,,,,,,,,,,,0,6226.0,43.0,-43.0,0.0,1.34,0.03,-0.03,0.0,1.17,0.07,-0.07,0.0,-0.11,0.08,-0.08,0.0,4.2,0.03,-0.03,0.0,126.61582790000001,10.0803708,106.289,0.676,-0.668,8.93,0.03,-0.03,7.722,0.031,-0.031,8.80998,0.000389,-0.000389
1,1,34.15,0.046,-0.046,0.0,0.176,0.007,-0.007,0.0,3.89,,,0.0,0.34700000000000003,,,0.0,14.4,3.0,-3.0,0.0,0.04531,0.00944,-0.00944,0.0,0.25,0.14,-0.14,0.0,,,,,,,,,0,,,,,,,,,0.62,0.04,-0.04,0.0,,,,,,,,,15.588173300000001,-10.424620800000001,21.0974,0.0178,-0.0178,10.06,0.03,-0.03,6.533,0.017,-0.017,9.378260000000001,0.00044400000000000006,-0.00044400000000000006
1,1,17.818,0.002,-0.002,0.0,0.112,0.001,-0.001,0.0,5.11,,,0.0,0.456,,,0.0,22.9,2.8,-2.8,0.0,0.07205,0.00881,-0.00881,0.0,0.5,0.08,-0.08,0.0,,,,,,,,,0,,,,,,,,,0.58,0.02,-0.02,0.0,,,,,,,,,149.03326719999998,62.7859505,10.5298,0.0043,-0.0043,8.99,0.1,-0.1,5.2,0.024,-0.024,8.22861,0.00046699999999999997,-0.00046699999999999997
1,2,345.72,5.37,-5.37,0.0,0.89,,,0.0,13.6,,,0.0,1.21,,,0.0,451.0,,,0.0,1.42,,,0.0,0.52,0.08,-0.08,0.0,,,,,,,,,0,4962.0,89.0,-89.0,0.0,0.75,0.06,-0.06,0.0,0.78,0.02,-0.02,0.0,0.1,0.07,-0.07,0.0,4.37,0.2,-0.2,0.0,16.5094891,-22.4536134,51.6026,0.1043,-0.1039,10.16,0.03,-0.03,7.669,0.02,-0.02,9.80235,0.000248,-0.000248
1,2,9017.76,3180.74,-3180.74,0.0,7.7,1.88,-1.88,0.0,12.2,,,0.0,1.09,,,0.0,4780.1632,3353.1065,-3353.1065,0.0,15.04,10.55,-10.55,0.0,0.14,0.1,-0.1,0.0,,,,,,,,,0,4813.0,207.69,-128.99,0.0,0.75,0.05,-0.09,0.0,0.78,0.12,-0.07,0.0,0.17,0.11,-0.11,0.0,4.58,0.13,-0.1,0.0,16.5094891,-22.4536134,51.6026,0.1043,-0.1039,10.16,0.03,-0.03,7.669,0.02,-0.02,9.80235,0.000248,-0.000248
1,2,7.76,0.003,-0.003,0.0,0.063,0.001,-0.001,0.0,2.87,,,0.0,0.256,,,0.0,8.62,1.84,-1.84,0.0,0.02712,0.00579,-0.00579,0.0,0.2,0.11,-0.11,0.0,,,,,,,,,0,4021.0,226.0,-146.0,0.0,,,,,0.57,0.03,-0.03,0.0,,,,,,,,,166.86435319999998,-19.2916857,18.7168,0.0164,-0.0164,10.38,0.1,-0.1,6.62,0.02,-0.02,9.64076,0.00040199999999999996,-0.00040199999999999996
1,2,15.144,0.008,-0.008,0.0,0.099,0.002,-0.002,0.0,3.57,,,0.0,0.318,,,0.0,12.44,2.11,-2.11,0.0,0.03914,0.006640000000000001,-0.006640000000000001,0.0,0.2,0.12,-0.12,0.0,,,,,,,,,0,4021.0,226.0,-146.0,0.0,,,,,0.57,0.03,-0.03,0.0,,,,,,,,,166.86435319999998,-19.2916857,18.7168,0.0164,-0.0164,10.38,0.1,-0.1,6.62,0.02,-0.02,9.64076,0.00040199999999999996,-0.00040199999999999996
1,3,8.1352,0.004,-0.004,0.0,0.07,0.0,0.0,0.0,2.4,,,0.0,0.214,,,0.0,6.3566,3.1783,-3.1783,0.0,0.02,0.01,-0.01,0.0,0.19,0.1,-0.1,0.0,,,,,,,,,0,4510.0,136.0,-136.0,0.0,0.78,0.05,-0.05,0.0,0.29,0.3,-0.3,0.0,0.01,,,0.0,4.11,0.46,-0.46,0.0,176.17054869999998,30.9576484,25.8618,0.0337,-0.0335,8.97,0.03,-0.03,6.286,0.021,-0.021,8.570689999999999,0.000434,-0.000434
1,3,32.03,0.02,-0.02,0.0,0.178,,,0.0,14.2,,,0.0,1.27,,,0.0,130.0,3.0,-3.0,0.0,0.40902,0.00944,-0.00944,0.0,0.05,0.02,-0.02,0.0,,,,,,,,,0,4640.0,100.0,-100.0,0.0,0.68,0.03,-0.03,0.0,0.73,0.05,-0.05,0.0,0.09,0.05,-0.05,0.0,4.71,0.1,-0.1,0.0,176.17054869999998,30.9576484,25.8618,0.0337,-0.0335,8.97,0.03,-0.03,6.286,0.021,-0.021,8.570689999999999,0.000434,-0.000434
1,3,431.7,8.5,-8.5,0.0,1.01,,,0.0,14.2,,,0.0,1.27,,,0.0,167.4,8.0,-8.0,0.0,0.5267,0.03,-0.03,0.0,0.27,0.05,-0.05,0.0,,,,,,,,,0,4640.0,100.0,-100.0,0.0,0.68,0.03,-0.03,0.0,0.73,0.05,-0.05,0.0,0.09,0.05,-0.05,0.0,4.71,0.1,-0.1,0.0,176.17054869999998,30.9576484,25.8618,0.0337,-0.0335,8.97,0.03,-0.03,6.286,0.021,-0.021,8.570689999999999,0.000434,-0.000434
1,1,124.6,,,0.0,0.565,,,0.0,12.5,,,0.0,1.12,,,0.0,2917.56,,,0.0,9.18,,,0.0,0.23,,,0.0,,,,,,,,,0,4830.0,100.0,-100.0,0.0,,,,,1.54,0.05,-0.05,0.0,-0.31,0.09,-0.09,0.0,2.53,0.2,-0.2,0.0,194.3824825,-65.6463263,156.456,0.6995,-0.6995,6.86,0.03,-0.03,4.406,0.016,-0.016,6.56453,0.00018999999999999998,-0.00018999999999999998
2,1,0.9809734,3.1e-06,-3.1e-06,0.0,0.01782,0.0002,-0.00021,0.0,22.754,6.837000000000001,-5.492000000000001,0.0,2.03,0.61,-0.49,0.0,1021.1877900000001,24.79074,-24.79074,0.0,3.213,0.078,-0.078,0.0,0.0,,,0.0,661.0,28.0,-29.0,0.0,1411.0,15.0,-15.0,0.0,0,4590.0,49.0,-49.0,0.0,0.72,0.01,-0.01,0.0,0.78,0.03,-0.03,0.0,0.18,0.08,-0.08,0.0,4.61,0.01,-0.01,0.0,0.18560629999999997,-54.8308228,61.7856,0.0806,-0.0804,11.0,0.03,-0.03,8.29,0.025,-0.025,10.5895,0.000446,-0.000446
1,2,28.125,0.019,-0.019,0.0,0.177,0.005,-0.005,0.0,14.3,,,0.0,1.28,,,0.0,136.03124,10.17056,-10.17056,0.0,0.428,0.032,-0.032,0.0,0.14,0.07,-0.07,0.0,,,,,,,,,0,5460.0,50.0,-50.0,0.0,,,,,0.93,0.07,-0.07,0.0,0.25,0.04,-0.04,0.0,4.47,0.08,-0.08,0.0,201.087663,48.8847322,61.7804,0.1065,-0.1062,9.38,0.03,-0.03,7.578,0.017,-0.017,9.151010000000001,0.000198,-0.000198
1,2,67.3,0.08,-0.08,0.0,0.316,0.008,-0.008,0.0,13.9,,,0.0,1.24,,,0.0,249.17872000000003,17.16282,-17.16282,0.0,0.784,0.054,-0.054,0.0,0.12,0.04,-0.04,0.0,,,,,,,,,0,5460.0,50.0,-50.0,0.0,,,,,0.93,0.07,-0.07,0.0,0.25,0.04,-0.04,0.0,4.47,0.08,-0.08,0.0,201.087663,48.8847322,61.7804,0.1065,-0.1062,9.38,0.03,-0.03,7.578,0.017,-0.017,9.151010000000001,0.000198,-0.000198
1,1,,,,,92.0,,,0.0,16.814,1.121,-1.121,0.0,1.5,0.1,-0.1,0.0,2860.47,953.49,-953.49,0.0,9.0,3.0,-3.0,0.0,,,,,,,,,1500.0,100.0,-200.0,0.0,0,8840.0,200.0,-200.0,0.0,1.77,0.05,-0.05,0.0,1.96,0.04,-0.04,0.0,,,,,,,,,201.15017269999998,-51.504538399999994,108.875,0.753,-0.742,7.01,0.03,-0.03,6.771,0.018,-0.018,6.98273,0.000301,-0.000301
1,1,1084.5,23.2,-23.2,0.0,2.81,0.09,-0.09,0.0,12.8,,,0.0,1.14,,,0.0,1906.98,155.7367,-155.7367,0.0,6.0,0.49,-0.49,0.0,0.13,0.05,-0.05,0.0,,,,,,,,,0,5000.0,100.0,-100.0,0.0,8.93,1.02,-1.02,0.0,2.5,0.21,-0.21,0.0,0.16,0.1,-0.1,0.0,2.9,0.2,-0.2,0.0,202.6050857,-58.664393700000005,150.292,0.65,-0.644,6.75,0.03,-0.03,4.453,0.023,-0.023,6.48224,0.0001682,-0.0001682
1,1,6.959503,1.6e-05,-1.5e-05,0.0,,,,,10.07,0.47,-0.47,0.0,0.898,0.042,-0.042,0.0,72.4,,,0.0,0.228,,,0.0,0.059,0.193,-0.046,0.0,,,,,1174.0,21.0,-20.0,0.0,0,5675.0,75.0,-75.0,0.0,1.38,0.06,-0.06,0.0,1.22,0.05,-0.05,0.0,0.0,,,0.0,,,,,207.526001,-40.8358961,127.28,1.105,-1.087,9.79,0.03,-0.03,8.164,0.026,-0.026,9.632610000000001,0.002283,-0.002283
1,1,2556.5,99.2,-94.9,0.0,4.91,0.14,-0.13,0.0,12.4,,,0.0,1.11,,,0.0,3527.913,127.132,-349.613,0.0,11.1,0.4,-1.1,0.0,0.59,0.05,-0.02,0.0,,,,,,,,,0,4985.0,100.0,-100.0,0.0,8.69,0.88,-0.88,0.0,2.41,0.16,-0.16,0.0,0.15,0.08,-0.08,0.0,2.85,0.2,-0.2,0.0,207.5808445,-39.9008996,116.046,0.65,-0.65,6.43,0.03,-0.03,4.196,0.036,-0.036,6.17087,0.0006952999999999999,-0.0006952999999999999
1,2,88.9,0.1,-0.1,0.0,0.46,0.02,-0.02,0.0,13.6,,,0.0,1.21,,,0.0,438.6054,47.6745,-47.6745,0.0,1.38,0.15,-0.15,0.0,0.05,0.04,-0.04,0.0,,,,,,,,,0,4890.0,100.0,-100.0,0.0,5.92,0.44,-0.44,0.0,1.63,0.22,-0.22,0.0,0.0,0.1,-0.1,0.0,3.15,0.2,-0.2,0.0,208.465364,-35.3146536,64.1181,0.1748,-0.1748,6.17,0.03,-0.03,3.751,0.236,-0.236,5.89329,0.0009089,-0.0009089
1,2,2131.8,88.3,-88.3,0.0,3.82,0.23,-0.23,0.0,12.7,,,0.0,1.14,,,0.0,2002.2,,,0.0,6.3,,,0.0,0.17,0.06,-0.06,0.0,,,,,,,,,0,4890.0,100.0,-100.0,0.0,5.92,0.44,-0.44,0.0,1.63,0.22,-0.22,0.0,0.0,0.1,-0.1,0.0,3.15,0.2,-0.2,0.0,208.465364,-35.3146536,64.1181,0.1748,-0.1748,6.17,0.03,-0.03,3.751,0.236,-0.236,5.89329,0.0009089,-0.0009089
2,1,17337.5,15512.5,-15512.5,0.0,20.25,15.75,-15.75,0.0,12.5,,,0.0,1.12,,,0.0,2860.0,1907.0,-1907.0,0.0,9.0,6.0,-6.0,0.0,0.715,0.245,-0.245,0.0,,,,,,,,,0,4105.0,130.0,-130.0,0.0,,,,,0.63,0.03,-0.03,0.0,,,,,,,,,217.32707620000002,-46.464684000000005,24.0572,0.02475,-0.02475,10.421,0.067,-0.067,6.79,0.027,-0.027,9.69796,0.00043099999999999996,-0.00043099999999999996
1,1,87.19,0.381,-0.381,0.0,0.335,0.007,-0.007,0.0,4.55,,,0.0,0.406,,,0.0,18.8,4.1,-4.1,0.0,0.05915,0.0129,-0.0129,0.0,0.21,0.13,-0.13,0.0,,,,,,,,,0,4146.0,107.0,-110.0,0.0,,,,,0.66,0.04,-0.04,0.0,,,,,,,,,218.21580730000002,-52.646475699999996,32.3311,0.0521,-0.0519,10.53,0.03,-0.03,7.242,0.021,-0.021,9.95835,0.00046100000000000004,-0.00046100000000000004
1,1,822.3,16.8,-16.8,0.0,2.1,0.09,-0.09,0.0,13.3,,,0.0,1.18,,,0.0,762.792,95.349,-95.349,0.0,2.4,0.3,-0.3,0.0,0.07,0.07,-0.07,0.0,,,,,,,,,0,4850.0,100.0,-100.0,0.0,5.77,0.53,-0.53,0.0,1.74,0.21,-0.21,0.0,0.2,0.13,-0.13,0.0,3.1,0.2,-0.2,0.0,229.5714974,-41.4210961,78.6562,0.256,-0.256,7.05,0.03,-0.03,4.639,0.016,-0.016,6.752339999999999,0.000227,-0.000227
1,1,,,,,740.0,60.0,-60.0,0.0,12.0,,,0.0,1.07,,,0.0,7300.0,300.0,-300.0,0.0,23.0,1.0,-1.0,0.0,,,,,,,,,2700.0,100.0,-100.0,0.0,0,10500.0,,,0.0,2.11,0.07,-0.06,0.0,2.5,,,0.0,,,,,4.13,0.09,-0.07,0.0,240.48100519999997,-21.980492,136.759,1.493,-1.462,7.1691,0.0459,-0.0459,6.903,0.02,,7.14665,0.000293,-0.000293
2,1,,,,,345.0,6.0,-6.0,0.0,12.1,,,0.0,1.08,,,0.0,6515.515,1430.235,-1430.235,0.0,20.5,4.5,-4.5,0.0,,,,,,,,,2450.0,150.0,-150.0,0.0,0,,,,,,,,,3.75,1.25,-1.25,0.0,,,,,,,,,242.1821202,-23.6855244,145.798,2.562,-2.476,5.86,0.03,-0.03,5.707,0.018,-0.018,5.83871,0.0008369,-0.0008369
1,1,111.7,0.7,-0.7,0.0,0.36,,,0.0,13.4,,,0.0,1.19,,,0.0,667.415,,,0.0,2.1,,,0.0,0.29,0.02,-0.02,0.0,,,,,,,,,0,3420.0,157.0,-157.0,0.0,0.48,0.01,-0.01,0.0,0.48,0.02,-0.02,0.0,,,,,4.76,0.01,-0.01,0.0,243.17424669999997,-18.8764247,14.5324,0.0259,-0.0259,11.394,0.045,-0.045,6.589,0.018,-0.018,10.2351,0.0013289999999999999,-0.0013289999999999999
2,1,1560.2,53.9,-53.9,0.0,2.8,0.25,-0.25,0.0,12.8,,,0.0,1.14,,,0.0,1748.065,317.83,-317.83,0.0,5.5,1.0,-1.0,0.0,0.16,0.06,-0.06,0.0,,,,,,,,,0,4670.0,100.0,-100.0,0.0,7.83,1.02,-1.02,0.0,1.17,0.28,-0.28,0.0,-0.15,0.08,-0.08,0.0,2.7,0.2,-0.2,0.0,27.5271962,-54.46516329999999,155.121,0.638,-0.634,7.88,0.03,-0.03,5.29,0.029,-0.029,7.56075,0.00020299999999999997,-0.00020299999999999997
1,1,5.0505,0.0015,-0.0015,0.0,0.06,0.0,0.0,0.0,13.7,,,0.0,1.23,,,0.0,346.4347,66.7443,-66.7443,0.0,1.09,0.21,-0.21,0.0,0.02,0.01,-0.01,0.0,,,,,,,,,0,5519.0,70.0,-70.0,0.0,0.89,0.03,-0.03,0.0,0.97,0.28,-0.28,0.0,0.23,,,0.0,4.53,0.12,-0.12,0.0,279.2211173,61.701506499999994,45.8846,0.0661,-0.066,8.65,0.03,-0.03,6.893,0.021,-0.021,8.45032,0.000505,-0.000505
1,1,1058.8,6.7,-6.7,0.0,2.55,0.05,-0.05,0.0,12.1,,,0.0,1.08,,,0.0,6356.3,127.1,-127.1,0.0,20.0,0.4,-0.4,0.0,0.61,0.03,-0.03,0.0,,,,,,,,,0,5020.0,100.0,-100.0,0.0,5.34,0.55,-0.55,0.0,1.93,0.11,-0.11,0.0,0.29,0.13,-0.13,0.0,3.26,0.2,-0.2,0.0,296.4221207,-0.6968794,102.275,0.407,-0.404,7.34,0.03,-0.03,5.09,0.027,-0.027,7.07025,0.000177,-0.000177
1,1,,,,,773.0,13.0,-13.0,0.0,11.777000000000001,1.527,-0.654,0.0,1.051,0.136,-0.057999999999999996,0.0,6991.57,2996.39,-2996.39,0.0,21.9987,9.42803,-9.42803,0.0,,,,,,,,,,,,,0,5927.14,136.22,-155.33,0.0,1.01,0.05,-0.06,0.0,1.08,0.14,-0.14,0.0,-0.036000000000000004,0.013000000000000001,-0.013000000000000001,0.0,4.46,0.08,-0.09,0.0,326.1315705,14.771452400000001,18.1186,0.0201,-0.0201,5.977069999999999,0.023,-0.023,4.559,0.038,-0.038,5.8236300000000005,0.001848,-0.001848
1,1,,,,,20.3,0.3,-0.3,0.0,12.442,1.2329999999999999,-1.2329999999999999,0.0,1.11,0.11,-0.11,0.0,9534.9,4767.45,-4767.45,0.0,30.0,15.0,-15.0,0.0,,,,,,,,,1200.0,100.0,-100.0,0.0,0,,,,,,,,,1.3,,,0.0,0.02,0.06,-0.07,0.0,,,,,102.5042716,-60.2486775,34.0071,0.048,-0.0478,6.11,0.03,-0.03,5.02,0.016,-0.016,5.9974099999999995,0.0006596,-0.0006596
2,1,27000.0,16000.0,-8000.0,0.0,18.0,6.0,-4.0,0.0,13.1,,,0.0,1.17,,,0.0,1026.5909,47.6745,-44.4962,0.0,3.23,0.15,-0.14,0.0,0.84,0.04,-0.04,0.0,,,,,171.0,5.0,-5.0,0.0,0,5794.0,100.0,-100.0,0.0,1.53,0.06,-0.05,0.0,1.07,0.04,-0.04,0.0,0.1,0.06,-0.06,0.0,4.02,0.1,-0.1,0.0,206.73579919999997,6.349899400000001,31.4607,0.039,-0.0389,6.33432,0.023,-0.023,4.851,0.021,-0.021,6.17464,0.000538,-0.000538
1,1,302.79999,2.3,-2.3,0.0,0.92,0.02,-0.02,0.0,13.3,,,0.0,1.19,,,0.0,721.4741,79.4575,-79.4575,0.0,2.27,0.25,-0.25,0.0,0.14,0.13,-0.13,0.0,,,,,,,,,0,6167.0,24.0,-24.0,0.0,1.13,0.02,-0.02,0.0,1.34,0.13,-0.13,0.0,0.16,,,0.0,4.46,0.04,-0.04,0.0,40.641717799999995,-50.7993484,17.3181,0.0162,-0.0162,5.4,0.03,-0.03,4.138,0.036,-0.036,5.25587,0.0022802,-0.0022802
2,3,3.58599,0.00015,-0.00015,0.0,0.048,0.001,-0.0011,0.0,2.085,0.068,-0.064,0.0,0.18600000000000003,0.006,-0.006,0.0,5.0,,,0.0,0.0157,,,0.0,0.3,,,1.0,989.7,62.5,-55.8,0.0,1572.0,22.0,-19.0,0.0,0,6201.0,50.0,-50.0,0.0,1.31,0.02,-0.02,0.0,1.15,0.07,-0.08,0.0,-0.14,0.08,-0.08,0.0,4.26,0.03,-0.04,0.0,42.9849779,-30.8140609,31.964,0.0722,-0.072,6.38,0.03,-0.03,5.149,0.02,-0.02,6.252759999999999,0.0004263,-0.0004263
2,3,5.97293,0.0006,-0.00053,0.0,0.0674,0.0014,-0.0016,0.0,1.939,0.069,-0.069,0.0,0.17300000000000001,0.006,-0.006,0.0,4.42,,,0.0,0.0139,,,0.0,0.19,,,1.0,512.0,29.0,-26.0,0.0,1326.0,18.0,-16.0,0.0,0,6201.0,50.0,-50.0,0.0,1.31,0.02,-0.02,0.0,1.15,0.07,-0.08,0.0,-0.14,0.08,-0.08,0.0,4.26,0.03,-0.04,0.0,42.9849779,-30.8140609,31.964,0.0722,-0.072,6.38,0.03,-0.03,5.149,0.02,-0.02,6.252759999999999,0.0004263,-0.0004263
2,3,11.23,0.0011,-0.001,0.0,0.1027,0.0022,-0.0025,0.0,2.164,0.086,-0.083,0.0,0.193,0.008,-0.006999999999999999,0.0,5.32,,,0.0,0.0168,,,0.0,0.28,,,1.0,217.0,13.0,-12.0,0.0,1075.0,15.0,-13.0,0.0,0,6201.0,50.0,-50.0,0.0,1.31,0.02,-0.02,0.0,1.15,0.07,-0.08,0.0,-0.14,0.08,-0.08,0.0,4.26,0.03,-0.04,0.0,42.9849779,-30.8140609,31.964,0.0722,-0.072,6.38,0.03,-0.03,5.149,0.02,-0.02,6.252759999999999,0.0004263,-0.0004263
1,4,170000.0,,,0.0,68.0,,,0.0,13.0,1.0,-1.0,0.0,1.2,0.1,-0.1,0.0,2000.0,1000.0,-600.0,0.0,7.0,4.0,-2.0,0.0,,,,,,,,,1200.0,,,0.0,0,7204.58,83.84,-129.54,0.0,1.49,0.05,-0.05,0.0,1.61,0.32,-0.21,0.0,,,,,4.3,0.09,-0.07,0.0,346.8701486,21.134037600000003,41.2441,0.1515,-0.1505,5.98,0.01,-0.01,5.24,0.018,-0.018,5.90914,0.0018783,-0.0018783
1,4,69000.0,,,0.0,38.0,,,0.0,13.0,1.0,0.0,0.0,1.2,0.1,0.0,0.0,3000.0,1000.0,-1000.0,0.0,10.0,3.0,-3.0,0.0,0.5,,,1.0,,,,,1200.0,,,0.0,0,7204.58,83.84,-129.54,0.0,1.49,0.05,-0.05,0.0,1.61,0.32,-0.21,0.0,,,,,4.3,0.09,-0.07,0.0,346.8701486,21.134037600000003,41.2441,0.1515,-0.1505,5.98,0.01,-0.01,5.24,0.018,-0.018,5.90914,0.0018783,-0.0018783
1,4,37000.0,,,0.0,24.0,,,0.0,13.0,1.0,0.0,0.0,1.2,0.1,0.0,0.0,3000.0,1000.0,-1000.0,0.0,10.0,3.0,-3.0,0.0,0.6,,,1.0,,,,,1300.0,,,0.0,0,7204.58,83.84,-129.54,0.0,1.49,0.05,-0.05,0.0,1.61,0.32,-0.21,0.0,,,,,4.3,0.09,-0.07,0.0,346.8701486,21.134037600000003,41.2441,0.1515,-0.1505,5.98,0.01,-0.01,5.24,0.018,-0.018,5.90914,0.0018783,-0.0018783
1,4,20815.6,1128.62,-1128.62,0.0,16.4,2.1,-1.1,0.0,13.115,1.4569999999999999,-1.2329999999999999,0.0,1.17,0.13,-0.11,0.0,3178.3,2224.81,-1271.32,0.0,10.0,7.0,-4.0,0.0,0.15,0.08,-0.08,0.0,,,,,1150.0,50.0,-50.0,0.0,0,7400.0,,,0.0,1.49,0.05,-0.05,0.0,1.51,0.04,-0.02,0.0,-0.5,,,0.0,4.0,,,0.0,346.8701486,21.134037600000003,41.2441,0.1515,-0.1505,5.98,0.01,-0.01,5.24,0.018,-0.018,5.90914,0.0018783,-0.0018783
2,2,2390.0,4.0,-4.0,0.0,3.6,0.8,-0.8,0.0,12.8,,,0.0,1.14,,,0.0,1875.197,190.698,-190.698,0.0,5.9,0.6,-0.6,0.0,0.0,,,0.0,,,,,,,,,0,,,,,,,,,0.88,,,0.0,,,,,,,,,316.99219760000005,-5.2948694000000005,192.19807869999997,2.3303607000000004,-2.3303607000000004,16.183,0.334,-0.334,13.634,0.044,-0.044,16.4718,0.039434,-0.039434
2,2,4368.0,515.0,-515.0,0.0,5.4,0.9,-0.9,0.0,12.9,,,0.0,1.15,,,0.0,1430.235,158.915,-158.915,0.0,4.5,0.5,-0.5,0.0,0.51,0.15,-0.15,0.0,,,,,,,,,0,,,,,,,,,0.88,,,0.0,,,,,,,,,316.99219760000005,-5.2948694000000005,192.19807869999997,2.3303607000000004,-2.3303607000000004,16.183,0.334,-0.334,13.634,0.044,-0.044,16.4718,0.039434,-0.039434
3,1,4640.0,70.0,-70.0,0.0,4.69,0.06,-0.06,0.0,12.3,,,0.0,1.09,,,0.0,4602.90201,321.88126,-321.88126,0.0,14.48228,1.01275,-1.01275,0.0,0.4,0.1,-0.1,0.0,,,,,,,,,0,,,,,,,,,0.48,0.01,-0.01,0.0,,,,,,,,,191.0843668,-8.6714143,171.701,2.5225,-2.5225,10.5,0.03,-0.03,11.122,0.023,-0.023,10.6098,0.005828,-0.005828
1,1,734.0,8.1,-8.1,0.0,2.038,0.039,-0.039,0.0,12.7,,,0.0,1.14,,,0.0,2002.329,158.915,-158.915,0.0,6.3,0.5,-0.5,0.0,0.18,0.09,-0.09,0.0,,,,,,,,,0,,,,,,,,,2.1,,,0.0,0.12,,,0.0,2.52,,,0.0,261.2086139,-49.9489317,859.324,31.989,-31.989,10.909,0.016,-0.016,8.054,0.018,-0.018,10.5336,0.000302,-0.000302
1,1,19.3044,0.0012,-0.0012,0.0,0.137,0.0015,-0.0015,0.0,3.84,0.35,-0.34,0.0,0.34299999999999997,0.031,-0.03,0.0,27.0,17.0,-16.0,0.0,0.08495,0.053489999999999996,-0.050339999999999996,0.0,0.31,0.16,-0.18,0.0,54.1,9.5,-9.5,0.0,703.0,55.0,-55.0,0.0,0,5620.0,70.0,-70.0,0.0,0.98,0.08,-0.08,0.0,0.92,0.05,-0.05,0.0,-0.07,0.07,-0.07,0.0,4.5,0.08,-0.08,0.0,172.1216476,1.6906217000000001,272.36,3.112,-3.044,12.429,0.069,-0.069,10.645,0.021,-0.021,12.2156,0.00023999999999999998,-0.00023999999999999998
1,1,1.673833,4.9e-05,-5e-05,0.0,0.0296,0.0002,-0.0002,0.0,3.59,0.14,-0.14,0.0,0.32,0.012,-0.012,0.0,12.6,,,0.0,0.0396,,,0.0,0.0,0.0,0.0,0.0,990.0,260.0,-120.0,0.0,1748.0,23.0,-23.0,0.0,0,6168.0,62.0,-62.0,0.0,1.22,0.02,-0.02,0.0,1.23,0.02,-0.02,0.0,0.26,0.05,-0.05,0.0,4.35,0.01,-0.01,0.0,129.6010863,20.1060074,188.959,2.471,-2.41,10.651,0.012,-0.012,9.182,0.018,-0.018,10.4053,0.00040599999999999995,-0.00040599999999999995
1,1,14.677286,0.000828,-0.000804,0.0,,,,,2.0,0.1,-0.1,0.0,0.17800000000000002,0.009000000000000001,-0.009000000000000001,0.0,4.66,,,0.0,0.0147,,,0.0,0.1,0.18,-0.08,0.0,,,,,,,,,0,4819.0,45.0,-45.0,0.0,0.73,0.03,-0.03,0.0,0.8,0.06,-0.06,0.0,0.14,0.04,-0.04,0.0,4.51,0.09,-0.09,0.0,130.3439097,18.9338205,188.33,2.128,-2.082,12.892,0.114,-0.114,10.536,0.019,-0.019,12.6619,0.00047000000000000004,-0.00047000000000000004
1,1,9.915615,0.001209,-0.001195,0.0,,,,,1.3,0.1,-0.1,0.0,0.11599999999999999,0.009000000000000001,-0.009000000000000001,0.0,2.24,,,0.0,0.00705,,,0.0,0.1,0.16,-0.07,0.0,,,,,,,,,0,4695.0,50.0,-50.0,0.0,0.71,0.03,-0.03,0.0,0.77,0.06,-0.06,0.0,0.14,0.04,-0.04,0.0,4.53,0.11,-0.08,0.0,130.0558953,19.778751899999996,188.175,2.065,-2.022,13.083,0.103,-0.103,10.64,0.02,-0.02,12.8466,0.000602,-0.000602
1,1,1.974238,0.00011,-0.00011,0.0,0.023,0.001,-0.001,0.0,1.96,0.15,-0.15,0.0,0.175,0.013000000000000001,-0.013000000000000001,0.0,4.5,,,0.0,0.0142,,,0.0,0.09,0.167783,-0.07267,0.0,62.1,16.0,-13.8,0.0,,,,,0,3546.46,98.71,-94.56,0.0,0.49,0.03,-0.03,0.0,0.43,0.06,-0.07,0.0,0.14,0.04,-0.04,0.0,4.74,0.01,-0.01,0.0,129.6366594,19.7737202,189.289,3.996,-3.837,15.989,0.206,-0.206,12.014,0.021,-0.021,15.3955,0.000606,-0.000606
