sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
2,1,416.0,2.0,-2.0,0.0,84.0,0.0,12.3,0.336,-0.336,0.0,1.1,0.03,-0.03,0.0,4131.79,0.0,13.0,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1600.0,0.0,0,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,0.0,0.19,0.02,-0.02,0.0,0.19,0.04,-0.04,0.0,4.86,0.0,0.0,0.0,15.8992489,-55.2658291,47.2,3.1,-3.1,15.788,0.275,-0.275,9.237001,0.022000000000000002,-0.022000000000000002,12.9025,0.001151,-0.001151
1,1,416.0,2.0,-2.0,0.0,52.0,0.0,11.209,0.336,-0.336,0.0,1.0,0.03,-0.03,0.0,7786.5,0.0,24.5,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1600.0,0.0,0,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,0.0,0.4,0.05,-0.05,0.0,0.19,0.04,-0.04,0.0,4.86,0.0,0.0,0.0,20.7128012,-24.6646128,33.8281,0.0864,-0.086,14.244000000000002,0.07400000000000001,-0.07400000000000001,9.198,0.026000000000000002,-0.026000000000000002,12.9025,0.001151,-0.001151
1,1,416.0,2.0,-2.0,0.0,156.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,0.0,13.9,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1150.0,0.0,0,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,0.19,0.04,-0.04,0.0,4.59,0.06,-0.06,0.0,34.842704600000005,-39.4230767,40.0896412,0.1940496,-0.1940496,20.15,0.19,-0.215,10.404000000000002,0.025,-0.025,15.0123,0.000624,-0.000624
1,1,416.0,2.0,-2.0,0.0,15.0,0.0,12.6,4.37,-4.04,0.0,1.13,0.39,-0.36,0.0,2383.6,0.0,7.5,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1150.0,0.0,0,2825.0,157.0,-157.0,0.0,0.22,0.01,-0.01,0.0,0.02,0.02,-0.02,0.0,0.19,0.04,-0.04,0.0,5.03,0.02,-0.02,0.0,70.4371079,23.0308544,120.423987,5.4783417000000005,-5.4783417000000005,20.15,0.19,-0.215,13.161,0.025,-0.025,18.9668,0.006833,-0.006833
1,1,416.0,2.0,-2.0,0.0,46.0,0.0,13.0,4.37,-4.04,0.0,1.16,0.39,-0.36,0.0,1271.0,0.0,4.0,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1150.0,0.0,0,2825.0,157.0,-157.0,0.0,0.22,0.01,-0.01,0.0,0.19,0.02,-0.02,0.0,0.19,0.04,-0.04,0.0,5.03,0.02,-0.02,0.0,181.8890906,-39.5484399,64.308,0.6569,-0.644,20.15,0.19,-0.215,11.945,0.026000000000000002,-0.026000000000000002,17.4076,0.002154,-0.002154
2,1,416.0,2.0,-2.0,0.0,0.92,0.0,13.4,4.37,-4.04,0.0,1.2,0.39,-0.36,0.0,603.877,0.0,1.9,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,2075.0,0.0,0,2300.0,80.0,-80.0,0.0,0.12,0.05,-0.04,0.0,0.48,0.03,-0.03,0.0,0.19,0.04,-0.04,0.0,4.43,0.05,-0.05,0.0,294.6359173,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.028999999999999998,-0.028999999999999998,12.1376,0.003687,-0.003687
1,1,7336.5,1934.5,-584.0,0.0,230.0,0.0,10.31,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,6657.48,0.0,20.95,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,2075.0,0.0,0,2300.0,80.0,-80.0,0.0,0.12,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0,0.19,0.04,-0.04,0.0,4.43,0.05,-0.05,0.0,325.1218214,16.4213408,33.1156898,0.4759327999999999,-0.4759327999999999,12.368,0.057,-0.057,11.825999999999999,0.031,-0.031,17.3961,0.004861,-0.004861
1,1,335.10001,2.5,-2.5,0.0,230.0,0.0,12.3,0.029,-0.029,0.0,1.1,0.003,-0.003,0.0,3972.875,0.0,12.5,0.0,0.29,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,4045.0,35.0,-35.0,0.0,1.41,0.05,-0.05,0.0,0.6,0.05,-0.05,0.0,0.19,0.04,-0.04,0.0,4.43,0.05,-0.05,0.0,339.1025931000001,47.861683,69.5737,0.1592,-0.1585,12.368,0.057,-0.057,9.148,0.018000000000000002,-0.018000000000000002,11.9484,0.000737,-0.000737
4,1,335.10001,2.5,-2.5,0.0,0.99,0.0,12.3,0.029,-0.029,0.0,1.1,0.003,-0.003,0.0,4392.4106,0.0,13.82,0.0,0.29,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,6331.0,61.0,-61.0,0.0,1.41,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,0.04,-0.04,0.0,4.43,0.05,-0.05,0.0,39.24127360000001,24.6480103,44.657,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512
1,1,269.3,1.96,-1.96,0.0,0.87,0.0,12.7,0.029,-0.029,0.0,1.13,0.003,-0.003,0.0,2256.5,0.0,7.1,0.0,0.43200000000000005,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0,-0.25,0.04,-0.04,0.0,1.8,0.15,-0.15,0.0,130.05280990000003,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288
2,1,479.1,6.2,-6.2,0.0,1.19,0.0,13.0,0.029,-0.029,0.0,1.16,0.003,-0.003,0.0,1233.13,0.0,3.88,0.0,0.38,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,4200.0,70.0,-70.0,0.0,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0.0,-0.46,0.05,-0.05,0.0,1.71,0.05,-0.05,0.0,276.49750530000006,65.5633652,90.6545,1.3227,-1.3227,4.8262,0.023,-0.023,2.085,0.21600000000000003,-0.21600000000000003,4.43216,0.0062380000000000005,-0.0062380000000000005
1,3,1078.0,2.0,-2.0,0.0,2.1,0.0,13.2,0.029,-0.029,0.0,1.18,0.003,-0.003,0.0,804.08,0.0,2.53,0.0,0.032,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,4.3,0.07,-0.07,0.0,164.8647611,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999998,0.023,-0.023,3.75,0.34,-0.34,4.8783699999999985,0.0038294000000000006,-0.0038294000000000006
1,3,2391.0,100.0,-87.0,0.0,3.6,0.0,14.2,0.029,-0.029,0.0,1.27,0.003,-0.003,0.0,171.62099999999998,0.0,0.54,0.0,0.098,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,4.3,0.07,-0.07,0.0,164.8647611,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999998,0.023,-0.023,3.75,0.34,-0.34,4.8783699999999985,0.0038294000000000006,-0.0038294000000000006
1,3,14002.0,4018.0,-5095.0,0.0,11.6,0.0,13.5,0.029,-0.029,0.0,1.2,0.003,-0.003,0.0,521.22,0.0,1.64,0.0,0.16,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,4.3,0.07,-0.07,0.0,164.8647611,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999998,0.023,-0.023,3.75,0.34,-0.34,4.8783699999999985,0.0038294000000000006,-0.0038294000000000006
3,1,11688.0,6209.25,-3287.25,0.0,12.0,0.0,13.4,0.029,-0.029,0.0,1.19,0.003,-0.003,0.0,635.66,0.0,2.0,0.0,0.45,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,7295.0,120.09,-98.99,0.0,1.49,0.05,-0.06,0.0,1.65,0.36,-0.18,0.0,-0.027000000000000003,0.045,-0.045,0.0,4.31,0.09,-0.07,0.0,69.40074240000001,-2.4738245,29.7575,0.1213,-0.1203,5.21149,0.023,-0.023,4.537,0.024,-0.024,5.15806,0.0023075,-0.0023075
1,1,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.0,14.3,0.029,-0.029,0.0,1.27,0.003,-0.003,0.0,146.2018,0.0,0.46,0.0,0.013000000000000001,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,5758.0,101.62,-119.62,0.0,1.18,0.07,-0.04,0.0,1.03,0.17,-0.09,0.0,0.18,0.1,-0.1,0.0,4.31,0.08,-0.06,0.0,344.3675399,20.7690958,15.4614,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768
2,5,14.6516,0.0001,-0.0001,0.0,0.1134,0.0,13.9,0.029,-0.029,0.0,1.24,0.003,-0.003,0.0,263.9785,0.0,0.8306,0.0,0.0,0.0,99.27,6.24,-5.76,0.0,700.0,0.0,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523
2,5,44.3989,0.0042,-0.0043,0.0,0.2373,0.0,8.51,0.029,-0.029,0.0,0.76,0.003,-0.003,0.0,54.4738,0.0,0.1714,0.0,0.03,0.0,99.27,6.24,-5.76,0.0,1958.0,0.0,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523
2,5,5574.2,93.8,-88.6,0.0,5.957000000000001,0.0,13.0,0.029,-0.029,0.0,1.16,0.003,-0.003,0.0,1232.493,0.0,3.878,0.0,0.13,0.0,99.27,6.24,-5.76,0.0,1958.0,0.0,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523
2,5,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,0.0,1.875,0.029,-0.029,0.0,0.16699999999999998,0.003,-0.003,0.0,7.99,0.0,0.02514,0.0,0.05,0.0,99.27,6.24,-5.76,0.0,1958.0,0.0,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523
2,5,259.88,0.29,-0.29,0.0,0.7708,0.0,7.59,0.202,-0.202,0.0,0.677,0.018000000000000002,-0.018000000000000002,0.0,44.812,0.0,0.141,0.0,0.08,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036000000000000004,-0.036000000000000004,5.72973,0.0008523,-0.0008523
1,1,934.3,8.6,-8.6,0.0,2.11,0.0,13.4,0.202,-0.202,0.0,1.19,0.018000000000000002,-0.018000000000000002,0.0,638.8383,0.0,2.01,0.0,0.073,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,4938.0,33.0,-33.0,0.0,5.2,0.01,-0.01,0.0,1.44,0.03,-0.03,0.0,-0.13,0.02,-0.02,0.0,3.19,0.03,-0.03,0.0,97.6960311,58.1611753,54.6599,0.2734,-0.2734,5.8730699999999985,0.023,-0.023,3.701,0.3,-0.3,5.60686,0.001085,-0.001085
1,3,4.215,0.0006,-0.0006,0.0,0.050201,0.0,2.11,0.202,-0.202,0.0,0.188,0.018000000000000002,-0.018000000000000002,0.0,5.1,0.0,0.016,0.0,0.12,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,0.1,-0.1,0.0,4.34,0.03,-0.03,0.0,199.596455,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.9560000000000004,0.23600000000000002,-0.23600000000000002,4.54052,0.0055701,-0.0055701
1,3,38.021,0.034,-0.034,0.0,0.2175,0.0,4.46,0.202,-0.202,0.0,0.398,0.018000000000000002,-0.018000000000000002,0.0,18.2,0.0,0.057,0.0,0.14,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,0.1,-0.1,0.0,4.34,0.03,-0.03,0.0,199.596455,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.9560000000000004,0.23600000000000002,-0.23600000000000002,4.54052,0.0055701,-0.0055701
1,3,123.01,0.55,-0.55,0.0,0.47600000000000003,0.0,5.11,0.202,-0.202,0.0,0.456,0.018000000000000002,-0.018000000000000002,0.0,22.9,0.0,0.07200000000000001,0.0,0.35,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,5577.0,33.0,-33.0,0.0,0.96,0.01,-0.01,0.0,0.94,0.03,-0.03,0.0,-0.01,0.1,-0.1,0.0,4.34,0.03,-0.03,0.0,199.596455,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.9560000000000004,0.23600000000000002,-0.23600000000000002,4.54052,0.0055701,-0.0055701
1,2,735.1,14.8,-1.0,0.0,1.758,0.0,13.4,0.202,-0.202,0.0,1.2,0.018000000000000002,-0.018000000000000002,0.0,587.9855,0.0,1.85,0.0,0.06,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,3.19,0.06,-0.07,0.0,99.171276,-19.256180800000006,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348
1,2,996.0,1.5,-52.4,0.0,2.153,0.0,13.9,0.202,-0.202,0.0,1.24,0.018000000000000002,-0.018000000000000002,0.0,276.5121,0.0,0.87,0.0,0.08,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,3.19,0.06,-0.07,0.0,99.171276,-19.256180800000006,19.8101,0.1648,-0.1648,3.95,0.03,-0.03,1.564,0.252,-0.252,3.67853,0.0041348,-0.0041348
1,1,116.68799999999999,0.0054,-0.0054,0.0,0.48100000000000004,0.0,12.6,0.202,-0.202,0.0,1.13,0.018000000000000002,-0.018000000000000002,0.0,2380.45,0.0,7.49,0.0,0.3988,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,5495.0,18.0,-18.0,0.0,1.89,1.0,-1.0,0.0,1.09,0.02,-0.27,0.0,-0.09,0.03,-0.03,0.0,3.95,0.05,-0.05,0.0,202.1064898,13.7763085,17.9011,0.055999999999999994,-0.0557,4.9680800000000005,0.023,-0.023,3.5,0.294,-0.294,4.76178,0.0044158,-0.0044158
2,1,691.9,3.6,-3.6,0.0,2.1,0.0,13.1,0.202,-0.202,0.0,1.17,0.018000000000000002,-0.018000000000000002,0.0,953.49,0.0,3.0,0.0,0.11699999999999999,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,4846.0,18.0,-18.0,0.0,10.5,1.0,-1.0,0.0,2.49,0.02,-0.27,0.0,0.0,0.04,-0.04,0.0,2.63,0.05,-0.05,0.0,38.0391598,-1.0350269,82.9613,0.72365,-0.72365,5.3532,0.023,-0.023,3.207,0.272,-0.272,5.0934300000000015,0.0039324,-0.0039324
1,1,93.4,4.5,-4.5,0.0,0.49,0.0,13.6,0.202,-0.202,0.0,1.22,0.018000000000000002,-0.018000000000000002,0.0,416.3573,0.0,1.31,0.0,0.06,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,4847.0,7.0,-7.0,0.0,10.3,0.57,-0.57,0.0,1.44,0.19,-0.19,0.0,-0.03,0.03,-0.03,0.0,2.57,0.03,-0.03,0.0,224.201685,74.9009379,162.55200000000002,0.6509999999999999,-0.6459999999999999,6.83295,0.023,-0.023,4.515,0.02,-0.02,6.558960000000001,0.000237,-0.000237
1,1,952.7,8.8,-8.8,0.0,2.5,0.0,12.8,0.202,-0.202,0.0,1.14,0.018000000000000002,-0.018000000000000002,0.0,1684.4,0.0,5.3,0.0,0.20600000000000002,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,4785.0,25.0,-25.0,0.0,11.0,2.0,-1.0,0.0,2.4,0.1,-0.4,0.0,-0.06,0.03,-0.03,0.0,2.35,0.08,-0.08,0.0,39.4243555,-3.3963607,101.26,1.222,-1.222,5.64307,0.023,-0.023,3.266,0.258,-0.258,5.37588,0.0031065000000000003,-0.0031065000000000003
3,1,181.4,0.1,-0.1,0.0,0.7,0.0,13.1,0.202,-0.202,0.0,1.17,0.018000000000000002,-0.018000000000000002,0.0,1017.0,0.0,3.2,0.0,0.027000000000000003,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,4665.0,18.0,-18.0,0.0,11.0,0.1,-0.1,0.0,1.4,0.1,-0.1,0.0,-0.03,0.1,-0.1,0.0,2.52,0.05,-0.05,0.0,348.97450310000005,-9.0878076,44.0304,0.51325,-0.51325,4.23946,0.023,-0.023,1.597,0.23600000000000002,-0.23600000000000002,3.95311,0.008843,-0.008843
1,1,8.46321,4e-05,-4e-05,0.0,260.0,0.0,12.3,0.202,-0.202,0.0,1.1,0.018000000000000002,-0.018000000000000002,0.0,4290.5,0.0,13.5,0.0,0.1,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,3700.0,100.0,-100.0,0.0,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,-0.71,0.09,-0.09,0.0,1.89,0.1,-0.1,0.0,94.8039208,-58.0541184,50.0475,0.0735,-0.0733,9.13,0.03,-0.03,6.981,0.024,-0.024,8.8378,0.001332,-0.001332
1,1,8.46321,4e-05,-4e-05,0.0,0.066,0.0,4.203,0.202,-0.202,0.0,0.375,0.018000000000000002,-0.018000000000000002,0.0,57.2094,1.0,0.18,1.0,0.1,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,3700.0,100.0,-100.0,0.0,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,-0.71,0.09,-0.09,0.0,1.89,0.1,-0.1,0.0,311.2911369,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.8403800000000015,0.000731,-0.000731
1,1,481.9,2.7,-2.8,0.0,1.3,0.0,12.7,0.112,-0.112,0.0,1.13,0.01,-0.01,0.0,2034.112,0.0,6.4,0.0,0.2,0.0,99.27,6.24,-5.76,0.0,546.0,0.0,0,4095.0,20.0,-20.0,0.0,32.35,8.82,-8.82,0.0,1.14,0.25,-0.25,0.0,-0.71,0.09,-0.09,0.0,1.89,0.1,-0.1,0.0,177.56472680000005,2.7601075,1070.63,63.875,-63.875,9.577,0.008,-0.008,6.021,0.021,-0.021,8.9977,0.000292,-0.000292
