,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqtlim
10,416.0,2.0,-2.0,0.0,84.0,0.0,12.3,0.336,-0.336,0.0,1.1,0.03,-0.03,0.0,4131.79,0.0,13.0,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1600.0,0.0
11,416.0,2.0,-2.0,0.0,52.0,0.0,11.209000000000001,0.336,-0.336,0.0,1.0,0.03,-0.03,0.0,7786.5,0.0,24.5,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1600.0,0.0
12,416.0,2.0,-2.0,0.0,156.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,0.0,13.9,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1150.0,0.0
13,416.0,2.0,-2.0,0.0,15.0,0.0,12.6,4.37,-4.04,0.0,1.13,0.39,-0.36,0.0,2383.6,0.0,7.5,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1150.0,0.0
14,416.0,2.0,-2.0,0.0,46.0,0.0,13.0,4.37,-4.04,0.0,1.16,0.39,-0.36,0.0,1271.0,0.0,4.0,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,1150.0,0.0
15,416.0,2.0,-2.0,0.0,0.92,0.0,13.4,4.37,-4.04,0.0,1.2,0.39,-0.36,0.0,603.877,0.0,1.9,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,2075.0,0.0
16,7336.5,1934.5,-584.0,0.0,230.0,0.0,10.31,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,6657.48,0.0,20.95,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,2075.0,0.0
17,335.10001,2.5,-2.5,0.0,230.0,0.0,12.3,0.028999999999999998,-0.028999999999999998,0.0,1.1,0.003,-0.003,0.0,3972.875,0.0,12.5,0.0,0.29,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
18,335.10001,2.5,-2.5,0.0,0.99,0.0,12.3,0.028999999999999998,-0.028999999999999998,0.0,1.1,0.003,-0.003,0.0,4392.4106,0.0,13.82,0.0,0.29,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
19,269.3,1.96,-1.96,0.0,0.87,0.0,12.7,0.028999999999999998,-0.028999999999999998,0.0,1.13,0.003,-0.003,0.0,2256.5,0.0,7.1,0.0,0.4320000000000001,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
20,479.1,6.2,-6.2,0.0,1.19,0.0,13.0,0.028999999999999998,-0.028999999999999998,0.0,1.16,0.003,-0.003,0.0,1233.13,0.0,3.88,0.0,0.38,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
21,1078.0,2.0,-2.0,0.0,2.1,0.0,13.2,0.028999999999999998,-0.028999999999999998,0.0,1.18,0.003,-0.003,0.0,804.08,0.0,2.53,0.0,0.032,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
22,2391.0,100.0,-87.0,0.0,3.6,0.0,14.2,0.028999999999999998,-0.028999999999999998,0.0,1.27,0.003,-0.003,0.0,171.62099999999995,0.0,0.54,0.0,0.098,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
23,14002.0,4018.0,-5095.0,0.0,11.6,0.0,13.5,0.028999999999999998,-0.028999999999999998,0.0,1.2,0.003,-0.003,0.0,521.22,0.0,1.64,0.0,0.16,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
24,11688.0,6209.25,-3287.25,0.0,12.0,0.0,13.4,0.028999999999999998,-0.028999999999999998,0.0,1.19,0.003,-0.003,0.0,635.66,0.0,2.0,0.0,0.45,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
25,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.0,14.3,0.028999999999999998,-0.028999999999999998,0.0,1.27,0.003,-0.003,0.0,146.2018,0.0,0.46,0.0,0.013,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
26,14.6516,0.0001,-0.0001,0.0,0.1134,0.0,13.9,0.028999999999999998,-0.028999999999999998,0.0,1.24,0.003,-0.003,0.0,263.9785,0.0,0.8306,0.0,0.0,0.0,99.27,6.24,-5.76,0.0,700.0,0.0
27,44.3989,0.0042,-0.0043,0.0,0.2373,0.0,8.51,0.028999999999999998,-0.028999999999999998,0.0,0.76,0.003,-0.003,0.0,54.4738,0.0,0.1714,0.0,0.03,0.0,99.27,6.24,-5.76,0.0,1958.0,0.0
28,5574.2,93.8,-88.6,0.0,5.957000000000002,0.0,13.0,0.028999999999999998,-0.028999999999999998,0.0,1.16,0.003,-0.003,0.0,1232.493,0.0,3.878,0.0,0.13,0.0,99.27,6.24,-5.76,0.0,1958.0,0.0
29,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,0.0,1.875,0.028999999999999998,-0.028999999999999998,0.0,0.16699999999999998,0.003,-0.003,0.0,7.99,0.0,0.02514,0.0,0.05,0.0,99.27,6.24,-5.76,0.0,1958.0,0.0
30,259.88,0.29,-0.29,0.0,0.7708,0.0,7.59,0.20199999999999999,-0.20199999999999999,0.0,0.677,0.018000000000000002,-0.018000000000000002,0.0,44.812,0.0,0.141,0.0,0.08,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
31,934.3,8.6,-8.6,0.0,2.11,0.0,13.4,0.20199999999999999,-0.20199999999999999,0.0,1.19,0.018000000000000002,-0.018000000000000002,0.0,638.8383,0.0,2.01,0.0,0.073,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
32,4.215,0.0006,-0.0006,0.0,0.050200999999999996,0.0,2.11,0.20199999999999999,-0.20199999999999999,0.0,0.188,0.018000000000000002,-0.018000000000000002,0.0,5.1,0.0,0.016,0.0,0.12,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
33,38.021,0.034,-0.034,0.0,0.2175,0.0,4.46,0.20199999999999999,-0.20199999999999999,0.0,0.39799999999999996,0.018000000000000002,-0.018000000000000002,0.0,18.2,0.0,0.057,0.0,0.14,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
34,123.01,0.55,-0.55,0.0,0.476,0.0,5.11,0.20199999999999999,-0.20199999999999999,0.0,0.456,0.018000000000000002,-0.018000000000000002,0.0,22.9,0.0,0.07200000000000001,0.0,0.35,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
35,735.1,14.8,-1.0,0.0,1.758,0.0,13.4,0.20199999999999999,-0.20199999999999999,0.0,1.2,0.018000000000000002,-0.018000000000000002,0.0,587.9855,0.0,1.85,0.0,0.06,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
36,996.0,1.5,-52.4,0.0,2.153,0.0,13.9,0.20199999999999999,-0.20199999999999999,0.0,1.24,0.018000000000000002,-0.018000000000000002,0.0,276.5121,0.0,0.87,0.0,0.08,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
37,116.688,0.0054,-0.0054,0.0,0.481,0.0,12.6,0.20199999999999999,-0.20199999999999999,0.0,1.13,0.018000000000000002,-0.018000000000000002,0.0,2380.45,0.0,7.49,0.0,0.3988,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
38,691.9,3.6,-3.6,0.0,2.1,0.0,13.1,0.20199999999999999,-0.20199999999999999,0.0,1.17,0.018000000000000002,-0.018000000000000002,0.0,953.49,0.0,3.0,0.0,0.117,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
39,93.4,4.5,-4.5,0.0,0.49,0.0,13.6,0.20199999999999999,-0.20199999999999999,0.0,1.22,0.018000000000000002,-0.018000000000000002,0.0,416.3573,0.0,1.31,0.0,0.06,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
40,952.7,8.8,-8.8,0.0,2.5,0.0,12.8,0.20199999999999999,-0.20199999999999999,0.0,1.14,0.018000000000000002,-0.018000000000000002,0.0,1684.4,0.0,5.3,0.0,0.206,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
41,181.4,0.1,-0.1,0.0,0.7,0.0,13.1,0.20199999999999999,-0.20199999999999999,0.0,1.17,0.018000000000000002,-0.018000000000000002,0.0,1017.0,0.0,3.2,0.0,0.027000000000000003,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
42,8.46321,4e-05,-4e-05,0.0,260.0,0.0,12.3,0.20199999999999999,-0.20199999999999999,0.0,1.1,0.018000000000000002,-0.018000000000000002,0.0,4290.5,0.0,13.5,0.0,0.1,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
43,8.46321,4e-05,-4e-05,0.0,0.066,0.0,4.203,0.20199999999999999,-0.20199999999999999,0.0,0.375,0.018000000000000002,-0.018000000000000002,0.0,57.2094,1.0,0.18,1.0,0.1,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
44,481.9,2.7,-2.8,0.0,1.3,0.0,12.7,0.11199999999999999,-0.11199999999999999,0.0,1.13,0.01,-0.01,0.0,2034.112,0.0,6.4,0.0,0.2,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
45,268.94,0.99,-0.99,0.0,0.78,0.0,13.8,0.11199999999999999,-0.11199999999999999,0.0,1.23,0.01,-0.01,0.0,330.5432,0.0,1.04,0.0,0.29,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
46,153.22,0.44,-0.44,0.0,0.5760000000000001,0.0,13.8,0.11199999999999999,-0.11199999999999999,0.0,1.23,0.01,-0.01,0.0,337.21763,0.0,1.061,0.0,0.001,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
47,137.48,0.34,-0.34,0.0,0.539,0.0,13.7,0.11199999999999999,-0.11199999999999999,0.0,1.23,0.01,-0.01,0.0,352.78,0.0,1.11,0.0,0.26,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
48,379.63,2.0,-2.0,0.0,1.05,0.0,11.6,0.11199999999999999,-0.11199999999999999,0.0,1.03,0.01,-0.01,0.0,17668.1697,0.0,55.59,0.0,0.15,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
49,621.99,10.2,-10.2,0.0,2.01,0.0,12.4,0.11199999999999999,-0.11199999999999999,0.0,1.1,0.01,-0.01,0.0,3963.17,0.0,12.47,0.0,0.18,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
50,578.2,5.4,-5.4,0.0,1.3,0.0,13.0,0.11199999999999999,-0.11199999999999999,0.0,1.16,0.01,-0.01,0.0,1334.886,0.0,4.2,0.0,0.21,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
51,41.6855,0.003,-0.003,0.0,0.241,0.0,2.5780000000000003,0.11199999999999999,-0.11199999999999999,0.0,0.23,0.01,-0.01,0.0,22.2481,0.0,0.07,0.0,0.0,0.0,99.27,6.24,-5.76,0.0,546.0,0.0
52,392.6,5.5,-5.5,0.0,1.0,0.0,13.9,9.08,-6.73,0.0,1.24,0.81,-0.6,0.0,289.2253,0.0,0.91,0.0,0.2,0.0,99.27,6.24,-5.76,0.0,370.0,0.0
53,733.0,5.0,-8.0,0.0,1.7,0.0,13.5,9.08,-6.73,0.0,1.2,0.81,-0.6,0.0,540.311,0.0,1.7,0.0,0.76,0.0,99.27,6.24,-5.76,0.0,370.0,0.0
54,2590.0,300.0,-180.0,0.0,4.2,0.0,13.5,9.08,-6.73,0.0,1.21,0.81,-0.6,0.0,508.5,0.0,1.6,0.0,0.35,0.0,99.27,6.24,-5.76,0.0,370.0,0.0
